text,label
"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",1
Sorry . I will be able to get to you. See you in the morning.,1
It has issues right now. Ill fix for her by tomorrow.,1
Wah lucky man... Then can save money... Hee...,1
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,1
Are there TA jobs available? Let me know please cos i really need to start working,1
Ugh fuck it I'm resubbing to eve,1
Where are you?when wil you reach here?,1
Still chance there. If you search hard you will get it..let have a try :),1
No..but heard abt tat..,1
Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,1
We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,1
Ya but it cant display internal subs so i gotta extract them,1
Same to u...,1
Great! I have to run now so ttyl!,1
I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),1
Love you aathi..love u lot..,1
Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,1
"As usual..iam fine, happy &amp; doing well..:)",1
"Total disappointment, when I texted you was the craziest shit got :(",1
Super msg da:)nalla timing.,1
I am great! How are you?,1
"Right on brah, see you later",1
I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,1
"Goodmorning, today i am late for 1hr.",1
Thanks for ve lovely wisheds. You rock,1
Now press conference da:),1
I'll probably be around mu a lot,1
Bugis oso near wat... ,1
Wat r u doing now?,1
Heehee that was so funny tho,1
"Lol you forgot it eh ? Yes, I'll bring it in babe",1
Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,1
Dear we got  &lt;#&gt;  dollars hi hi,1
"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",1
But am going to college pa. What to do. are else ill come there it self. Pa.,1
Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,1
Ok...,1
Your right! I'll make the appointment right now.,1
Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,1
Ha... U jus ate honey ar? So sweet...,1
How much did ur hdd casing cost.,1
No. I.ll meet you in the library,1
"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",1
alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,1
yay! finally lol. i missed our cinema trip last week :-(,1
You are not bothering me but you have to trust my answers. Pls.,1
Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,1
"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",1
Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,1
Dont pick up d call when something important is There to tell. Hrishi,1
Boo what time u get out? U were supposed to take me shopping today. :(,1
Oooh bed ridden ey? What are YOU thinking of?,1
Ya had just now.onion roast.,1
Did u find out what time the bus is at coz i need to sort some stuff out.,1
Aiyo please ü got time meh.,1
Still work going on:)it is very small house.,1
Thanks honey. Have a great day.,1
If u sending her home first it's ok lor. I'm not ready yet.,1
So that takes away some money worries,1
I dun believe u. I thk u told him.,1
"Okey dokey, i‘ll be over in a bit just sorting some stuff out.",1
Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? ,1
Nothing just getting msgs by dis name wit different no's..,1
When you came to hostel.,1
So why didnt you holla?,1
U guys never invite me anywhere :(,1
"Sorry, I'll call later",1
I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,1
I always chat with you. In fact i need money can you raise me?,1
Wake me up at  &lt;#&gt;  am morning:),1
"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",1
I'm in town now so i'll jus take mrt down later.,1
"Well, i'm gonna finish my bath now. Have a good...fine night.",1
"It's wylie, you in tampa or sarasota?",1
Oh ok i didnt know what you meant. Yep i am baby jontin,1
"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*",1
Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),1
Anything lor if they all go then i go lor...,1
Moji i love you more than words. Have a rich day,1
Ü give me some time to walk there.,1
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",1
V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,1
Mm you ask him to come its enough :-),1
Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,1
K...k:)why cant you come here and search job:),1
Only once then after ill obey all yours.,1
Noice. Text me when you're here,1
Hmm ill have to think about it... ok you're forgiven! =D,1
S now only i took tablets . Reaction morning only.,1
"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",1
Well i know Z will take care of me. So no worries.,1
Stupid.its not possible,1
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",1
Easy ah?sen got selected means its good..,1
I cant pick the phone right now. Pls send a message,1
K k:) sms chat with me.,1
Yup... I havent been there before... You want to go for the yoga? I can call up to book ,1
"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon....",1
Dad went out oredi... ,1
"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",1
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,1
I dont want to hear philosophy. Just say what happen,1
I'm home...,1
Buy one egg for me da..please:),1
Yes.. now only saw your message..,1
Yup... How ü noe leh...,1
Hey gals...U all wanna meet 4 dinner at nìte? ,1
I'm at home n ready...,1
Howz pain.it will come down today.do as i said ystrday.ice and medicine.,1
"Sir, i am waiting for your call.",1
Gud mrng dear hav a nice day,1
"Sorry, I can't help you on this.",1
I'm at work. Please call,1
Dont know you bring some food,1
I like to talk pa but am not able to. I dont know y.,1
K.k.this month kotees birthday know?,1
I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,1
"Yeah I should be able to, I'll text you when I'm ready to meet up",1
"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",1
Gud mrng dear hav a nice day,1
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,1
Me i'm not workin. Once i get job...,1
Otherwise had part time job na-tuition..,1
Do you hide anythiing or keeping distance from me,1
10 min later k...,1
Hui xin is in da lib.,1
"Not much, just some textin'. How bout you?",1
Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...,1
Ü dun need to pick ur gf?,1
S:-)kallis wont play in first two odi:-),1
Hmmm.but you should give it on one day..,1
"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",1
Yes its possible but dint try. Pls dont tell to any one k,1
Then she buying today? Ü no need to c meh...,1
Ü bot notes oredi... Cos i juz rem i got...,1
Ok thanx... Take care then...,1
"Sorry, got a late start, we're on the way",1
No probably  &lt;#&gt; %.,1
When you guys planning on coming over?,1
"sorry brah, just finished the last of my exams, what up",1
"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",1
Anytime...,1
Now got tv 2 watch meh? U no work today?,1
You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,1
Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,1
I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,1
Yeah so basically any time next week you can get away from your mom &amp; get up before 3,1
Lol! Oops sorry! Have fun. ,1
Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,1
"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",1
It is a good thing I'm now getting the connection to bw,1
R u here yet? I'm wearing blue shirt n black pants.,1
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,1
hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,1
Prabha..i'm soryda..realy..frm heart i'm sory,1
"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",1
Of course. I guess god's just got me on hold right now.,1
You are right. Meanwhile how's project twins comin up,1
Huh means computational science... Y they like dat one push here n there...,1
U know we watchin at lido?,1
You intrepid duo you! Have a great time and see you both soon. ,1
Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,1
Come to my home for one last time i wont do anything. Trust me.,1
Hey check it da. I have listed da.,1
Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,1
"What's up bruv, hope you had a great break. Do have a rewarding semester.",1
Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,1
"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",1
Ü v ma fan...,1
Oh dang! I didn't mean o send that to you! Lol!,1
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,1
"Awesome, I'll see you in a bit",1
Ay wana meet on sat?ü wkg on sat?,1
Thanks for understanding. I've been trying to tell sura that.,1
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",1
Yes da. Any plm at ur office,1
"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",1
Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,1
Lol enjoy role playing much?,1
Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,1
Yar else i'll thk of all sorts of funny things.,1
"Yeah we wouldn't leave for an hour at least, how's 4 sound?",1
Y bishan lei... I tot ü say lavender? ,1
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,1
Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,1
Gud mrng dear hav a nice day,1
i dnt wnt to tlk wid u,1
Where did u go? My phone is gonna die you have to stay in here,1
"Hmph. Go head, big baller.",1
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,1
Jesus christ bitch I'm trying to give you drugs answer your fucking phone,1
I was slept that time.you there?,1
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,1
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,1
I sent them. Do you like?,1
Quite late lar... Ard 12 anyway i wun b drivin...,1
"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?",1
aathi..where are you dear..,1
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",1
Ok...,1
So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,1
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,1
"No I'm good for the movie, is it ok if I leave in an hourish?",1
Where is that one day training:-),1
Arun can u transfr me d amt,1
Do I? I thought I put it back in the box,1
Yesterday its with me only . Now am going home.,1
Okie,1
Ok set let u noe e details later...,1
Ok ok take care. I can understand.,1
Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. ,1
"Haha, just what I was thinkin",1
Aiyah then i wait lor. Then u entertain me. Hee...,1
Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,1
I dont understand your message.,1
Lil fever:) now fine:),1
Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!,1
"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",1
I dont know oh. Hopefully this month.,1
"Sorry, I'll call later",1
But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,1
Wat time u finish ur lect today?,1
Its ok..come to my home it vl nice to meet and v can chat..,1
"I‘ll leave around four, ok?",1
What class of  &lt;#&gt;  reunion?,1
"I'll see if I can swing by in a bit, got some things to take care of here firsg",1
"Tee hee. Off to lecture, cheery bye bye.",1
Finish liao... U?,1
I am going to sao mu today. Will be done only at 12 ,1
I gotta collect da car at 6 lei.,1
Can. Dunno wat to get 4 her...,1
"Oops I did have it,  &lt;#&gt; ?",1
Yup. Wun believe wat? U really neva c e msg i sent shuhui?,1
Hows the pain dear?y r u smiling?,1
I'm in class. Will holla later,1
Oh Howda gud gud.. Mathe en samachara chikku:-),1
Hi good mornin.. Thanku wish u d same..,1
Yo come over carlos will be here soon,1
BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...,1
"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",1
"Aight, I'll text you when I'm back",1
Happy birthday... May u find ur prince charming soon n dun work too hard...,1
Maybe i could get book out tomo then return it immediately ..? Or something.,1
K...k...yesterday i was in cbe .,1
I love to wine and dine my lady!,1
Am also doing in cbe only. But have to pay.,1
Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish ,1
No need for the drug anymore.,1
Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,1
Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?,1
No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,1
Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,1
"""HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX""",1
Ok. C u then.,1
Sat right? Okay thanks... ,1
Just haven't decided where yet eh ?,1
Arun can u transfr me d amt,1
I asked you to call him now ok,1
"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",1
Lmao you know me so well...,1
Ok.ok ok..then..whats ur todays plan,1
Thought praps you meant another one. Goodo! I'll look tomorrow ,1
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",1
Just got outta class gonna go gym.,1
Oh for fuck's sake she's in like tallahassee,1
Its ok my arm is feeling weak cuz i got a shot so we can go another time,1
LOL that would be awesome payback.,1
No message..no responce..what happend?,1
Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,1
I think just yourself …Thanks and see you tomo,1
No..few hours before.went to hair cut .,1
C movie is juz last minute decision mah. Juz watch 2 lar but i tot ü not interested.,1
In e msg jus now. U said thanks for gift.,1
Thanks for loving me so. You rock,1
Yup ü not comin :-(,1
S...i will take mokka players only:),1
Where are you ? You said you would be here when I woke ... :-(,1
Hey morning what you come to ask:-) pa...,1
Wish u many many returns of the day.. Happy birthday vikky..,1
Ard 6 like dat lor.,1
I called and said all to him:)then he have to choose this future.,1
"I can. But it will tell quite long, cos i haven't finish my film yet...",1
Meeting u is my work. . . Tel me when shall i do my work tomorrow,1
Eat at old airport road... But now 630 oredi... Got a lot of pple...,1
Ugh my leg hurts. Musta overdid it on mon.,1
Fuck cedar key and fuck her (come over anyway tho),1
U GOIN OUT 2NITE?,1
Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,1
K tell me anything about you.,1
Should I head straight there or what,1
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",1
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",1
Thanx a lot 4 ur help!,1
"Sorry, I'll call later in meeting",1
Well i will watch shrek in 3D!!B),1
I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,1
"I av a new number,  . Wil u only use this one,ta.",1
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",1
They will pick up and drop in car.so no problem..,1
Going to take your babe out ?,1
Guessin you ain't gonna be here before 9?,1
"I am in tirupur da, once you started from office call me.",1
I anything lor.,1
Ok lor thanx... Ü in school?,1
Ugh hopefully the asus ppl dont randomly do a reformat.,1
My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),1
"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",1
You sure your neighbors didnt pick it up,1
Do u hav any frnd by name ashwini in ur college?,1
If you have belive me. Come to my home.,1
Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,1
Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,1
Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,1
"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*",1
U studying in sch or going home? Anyway i'll b going 2 sch later.,1
Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,1
I've reached home n i bathe liao... U can call me now...,1
I am joining today formally.Pls keep praying.will talk later.,1
No problem. How are you doing?,1
"Sorry sir, i will call you tomorrow.  senthil.hsbc",1
Watching tv now. I got new job :),1
Why don't you wait 'til at least wednesday to see if you get your .,1
"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",1
No da. . Vijay going to talk in jaya tv,1
"I'd say that's a good sign but, well, you know my track record at reading women",1
Ok.ok ok..then..whats ur todays plan,1
"A few people are at the game, I'm at the mall with iouri and kaila",1
You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! ,1
Honey boo I'm missing u.,1
I want to go to perumbavoor,1
Dhoni have luck to win some big title.so we will win:),1
Shall i ask one thing if you dont mistake me.,1
Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you,1
"Didn't try, g and I decided not to head out",1
"Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",1
Why tired what special there you had,1
Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,1
Do have a nice day today. I love you so dearly.,1
Take us out shopping and Mark will distract Isaiah.=D,1
I'm done oredi...,1
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",1
"Sorry man, my stash ran dry last night and I can't pick up more until sunday",1
Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,1
Oh k.k..where did you take test?,1
I re-met alex nichols from middle school and it turns out he's dealing!,1
Ok. No wahala. Just remember that a friend in need ...,1
Ugh. Gotta drive back to sd from la. My butt is sore.,1
K go and sleep well. Take rest:-).,1
No break time one... How... I come out n get my stuff fr ü?,1
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",1
"And how you will do that, princess? :)",1
Also hi wesley how've you been,1
HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,1
Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night,1
Yup i thk so until e shop closes lor.,1
Is ur paper in e morn or aft tmr?,1
"Haha better late than ever, any way I could swing by?",1
LOL ... Have you made plans for new years?,1
"Ya ok, then had dinner?",1
He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,1
I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,1
Ambrith..madurai..met u in arun dha marrge..remembr?,1
Well I might not come then...,1
"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",1
Don't necessarily expect it to be done before you get back though because I'm just now headin out,1
Going for dinner.msg you after.,1
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,1
Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,1
Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,1
Huh i cant thk of more oredi how many pages do we have?,1
I havent add ü yet right.. ,1
Its normally hot mail. Com you see!,1
Every day i use to sleep after  &lt;#&gt;  so only.,1
Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,1
K. Did you call me just now ah? ,1
But i'm surprised she still can guess right lor...,1
Havent shopping now lor i juz arrive only,1
Can ü call me at 10:10 to make sure dat i've woken up...,1
"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",1
I dunno lei... Like dun haf...,1
Yup i'm free...,1
